Illumicode,N,Mean GRN,Dev GRN,Mean RED,Dev RED
3850703,37,262,91,3316,739
3850709,30,290,123,983,354
3850717,34,3079,827,201,76
3850754,27,2934,740,184,68
3870037,24,2736,709,1690,389
3870082,28,200,121,157,62
3870192,32,4073,1058,653,354
3870224,32,425,165,450,213
3870270,22,10033,2805,297,96
3870474,29,928,408,246,112
3870593,20,301,131,8268,1659
3870725,30,4252,1297,1208,521
3890021,22,195,81,138,61
3890044,39,312,131,1079,372
3890047,31,215,94,798,208
3890068,17,178,92,202,93
3890154,34,3858,637,3797,667
3890209,26,9839,2156,7473,1272
3890224,24,276,77,1457,352
3890341,25,298,127,1838,671
3890364,22,9740,3043,457,160
3890367,19,616,166,11444,1579
3890402,39,961,295,5626,1173
3890437,22,427,244,2408,713
3890438,30,212,93,250,93
3890538,33,2091,643,1328,407
3890612,29,263,127,1585,707
3890634,24,5473,1037,280,131
3890672,34,228,82,1935,530
3890750,25,4199,1142,448,228
3890768,32,252,113,2621,793
3930064,26,1991,403,954,262
3930129,26,3953,912,2532,573
3930132,29,355,125,711,206
3930133,29,1029,294,8050,1241
3930142,26,217,90,671,181
3930356,33,252,94,1031,368
3930435,36,261,137,493,214
3930438,36,4519,841,209,99
3930451,22,362,159,175,85
3930537,32,7360,1501,251,80
3930600,37,269,133,10405,1272
3930685,20,2076,610,13945,2816
3930709,24,316,151,155,67
3930736,24,675,270,4375,1114
3940095,34,358,127,4611,891
3940121,47,1968,604,10578,2092
3940132,27,7980,1495,261,151
3940180,30,13212,2384,348,112
3940193,26,233,98,1097,424
3940270,34,465,173,189,89
3940315,34,308,129,176,85
3940347,31,4310,820,185,81
3940368,33,5043,1425,565,281
3940386,38,7255,1809,2640,549
3940523,28,4524,1001,287,133
3940524,27,6795,1795,3302,859
3940528,27,2703,674,6657,885
3940538,32,6027,1329,655,272
3940598,35,6618,1466,255,98
3940647,19,180,121,531,216
3940671,31,306,88,3026,510
3990010,25,421,160,2938,582
3990092,24,4982,849,205,64
3990113,28,188,92,773,256
3990128,33,398,145,3745,923
3990162,30,2998,581,622,173
3990195,24,194,88,181,75
